磁场强度/nT,time
49385.42,102930
49385.48,102935
49385.61,102940
49385.293,102945
49384.973,102950
49384.613,102955
49384.617,103000
49384.93,103005
49385.02,103010
49385.0,103015
49384.96,103020
49384.984,103025
49385.066,103030
49385.215,103035
49385.227,103040
49385.17,103045
49385.168,103050
49385.082,103055
49384.992,103100
49384.94,103105
49385.13,103110
49385.273,103115
49385.31,103120
49385.33,103125
49385.273,103130
49385.035,103135
49384.977,103140
49384.86,103145
49384.883,103150
49384.867,103155
49384.883,103200
49384.867,103205
49384.707,103210
49384.625,103215
49384.863,103220
49385.117,103225
49385.25,103230
49384.76,103235
49384.848,103240
49385.387,103245
49385.66,103250
49385.83,103255
49385.855,103300
49385.883,103305
49385.85,103310
49386.004,103315
49385.72,103320
49385.723,103325
49385.71,103330
49385.742,103335
49385.727,103340
49385.04,103345
49385.207,103350
49385.48,103355
49385.684,103400
49385.574,103405
49385.48,103410
49385.508,103415
49385.426,103420
49385.348,103425
49385.297,103430
49385.516,103435
49385.71,103440
49385.582,103445
49385.49,103450
49385.492,103455
49385.746,103500
49385.98,103505
49381.742,103510
49383.676,103515
49381.26,103520
49385.906,103525
49385.906,103530
49385.953,103535
49386.19,103540
49386.484,103545
49386.453,103550
49386.31,103555
49386.133,103600
49386.082,103605
49385.87,103610
49385.824,103615
49385.562,103620
49385.574,103625
49385.426,103630
49385.484,103635
49385.707,103640
49385.94,103645
49385.926,103650
49385.875,103655
49385.914,103700
49385.85,103705
49385.848,103710
49385.863,103715
49385.914,103720
49386.418,103725
49386.82,103730
49387.375,103735
49387.203,103740
49387.105,103745
49387.074,103750
49387.273,103755
49387.457,103800
49387.637,103805
49387.49,103810
49387.4,103815
49387.348,103820
49387.355,103825
49387.336,103830
49387.36,103835
49386.98,103840
49386.848,103845
49386.83,103850
49386.938,103855
49387.234,103900
49387.35,103905
49387.37,103910
49387.445,103915
49387.42,103920
49387.27,103925
49387.14,103930
49387.246,103935
49387.117,103940
49386.977,103945
49387.164,103950
49387.375,103955
49387.137,104000
49386.887,104005
49386.89,104010
49387.023,104015
49387.188,104020
49387.22,104025
49387.13,104030
49386.95,104035
49386.91,104040
49386.926,104045
49386.996,104050
49387.23,104055
49387.113,104100
49386.93,104105
49386.9,104110
49386.84,104115
49386.97,104120
49387.105,104125
49386.547,104130
49386.523,104135
49386.508,104140
49386.797,104145
49386.914,104150
49387.016,104155
49387.01,104200
49387.535,104205
49387.87,104210
49387.91,104215
49387.76,104220
49387.68,104225
49387.664,104230
49387.766,104235
49387.926,104240
49387.617,104245
49387.84,104250
49387.965,104255
49387.79,104300
49387.805,104305
49387.684,104310
49387.543,104315
49387.117,104320
49386.65,104325
49386.42,104330
49386.586,104335
49387.01,104340
49387.055,104345
49386.92,104350
49387.02,104355
49387.246,104400
49387.387,104405
49387.438,104410
49387.43,104415
49387.438,104420
49387.2,104425
49387.145,104430
49387.137,104435
49387.42,104440
49387.484,104445
49387.47,104450
49380.965,104455
49391.473,104500
49391.484,104505
49390.52,104510
49387.89,104515
49388.258,104520
49389.08,104525
49389.54,104530
49389.953,104535
49381.207,104540
49381.09,104545
49335.242,104550
49399.547,104555
49408.023,104600
49374.113,104605
49372.363,104610
49312.586,104615
49407.99,104620
